buy_month	sell_month	pints_purchased	expected_profit
2025-07-01	2025-12-01	332279	120194.84
2025-06-01	2025-12-01	327221	70418.97
2025-08-01	2025-12-01	306442	63735.97
2025-09-01	2025-12-01	294128	50401.72
2025-07-01	2025-11-01	332279	43104.0
2025-10-01	2025-12-01	273002	2258.77
2025-06-01	2025-11-01	327221	-5498.38
2025-08-01	2025-11-01	306442	-7360.52
2025-09-01	2025-11-01	294128	-17837.84
2025-05-01	2025-12-01	299894	-48962.87
2025-10-01	2025-11-01	273002	-61079.42
2025-07-01	2025-10-01	332279	-70722.82
2025-11-01	2025-12-01	240691	-92296.32
2025-08-01	2025-10-01	306442	-112336.51
2025-07-01	2025-09-01	332279	-116171.07
2025-06-01	2025-10-01	327221	-117592.51
2025-05-01	2025-11-01	299894	-118540.19
2025-09-01	2025-10-01	294128	-118595.5
2025-07-01	2025-08-01	332279	-123801.7
2025-04-01	2025-12-01	276117	-151976.36
2025-08-01	2025-09-01	306442	-154250.85
2025-06-01	2025-09-01	327221	-162348.95
2025-06-01	2025-08-01	327221	-169863.42
2025-03-01	2025-12-01	275825	-180454.39
2025-03-01	2025-04-01	275825	-183697.76
2025-01-01	2025-02-01	236541	-189654.54
2025-06-01	2025-07-01	327221	-211867.94
2025-04-01	2025-11-01	276117	-216037.26
2025-05-01	2025-10-01	299894	-221273.08
2025-03-01	2025-11-01	275825	-244447.54
2025-04-01	2025-05-01	276117	-254190.28
2025-05-01	2025-09-01	299894	-262291.79
2025-05-01	2025-06-01	299894	-265128.48
2025-05-01	2025-08-01	299894	-269178.72
2025-03-01	2025-05-01	275825	-282560.21
2025-02-01	2025-03-01	241558	-284279.6
2025-02-01	2025-12-01	241558	-306427.49
2025-05-01	2025-07-01	299894	-307675.34
2025-02-01	2025-04-01	241558	-309267.92
2025-04-01	2025-10-01	276117	-310625.01
2025-01-01	2025-03-01	236541	-322798.74
2025-03-01	2025-10-01	275825	-338935.25
2025-01-01	2025-12-01	236541	-344486.64
2025-01-01	2025-04-01	236541	-347268.07
2025-04-01	2025-09-01	276117	-348391.57
2025-04-01	2025-06-01	276117	-351003.35
2025-04-01	2025-08-01	276117	-354732.46
2025-02-01	2025-11-01	241558	-362470.48
2025-03-01	2025-09-01	275825	-376661.88
2025-03-01	2025-06-01	275825	-379270.89
2025-03-01	2025-08-01	275825	-382996.07
2025-04-01	2025-07-01	276117	-390176.9
2025-02-01	2025-05-01	241558	-395848.24
2025-01-01	2025-11-01	236541	-399365.65
2025-03-01	2025-07-01	275825	-418403.02
2025-01-01	2025-05-01	236541	-432050.18
2025-02-01	2025-10-01	241558	-445219.55
2025-02-01	2025-09-01	241558	-478259.22
2025-01-01	2025-10-01	236541	-480396.08
2025-02-01	2025-06-01	241558	-480544.11
2025-02-01	2025-08-01	241558	-483806.49
2025-01-01	2025-09-01	236541	-512749.54
2025-02-01	2025-07-01	241558	-514814.67
2025-01-01	2025-06-01	236541	-514986.97
2025-01-01	2025-08-01	236541	-518181.59
2025-01-01	2025-07-01	236541	-548545.76
